time	I	D	V
0	444	17	28
1	444	17	28
2	549	24	31
3	761	40	32
4	1058	52	42
5	1423	76	45
6	3554	125	80
7	3554	125	88
8	4903	162	90
9	5806	204	141
10	7153	249	168
11	11177	350	295
12	13522	414	386
13	16678	479	522
14	19665	549	633
15	22112	618	817
16	24953	699	1115
17	27100	780	1439
18	29631	871	1795
19	31728	974	2222
20	33366	1068	2639
21	33366	1068	2686
22	48206	1310	3459
23	54406	1457	4774
24	56249	1596	5623
25	58182	1696	6639
26	59989	1789	7862
27	61682	1921	9128
28	62031	2029	10337
29	62442	2144	11788
30	62662	2144	11881
31	64084	2346	15299
32	64084	2346	15343
33	64287	2495	16748
34	64786	2563	18971
35	65187	2615	20969
36	65596	2641	23383
37	65914	2682	26403
38	66337	2727	28993
39	66907	2761	31536
40	67103	2803	33934
41	67217	2835	36208
42	67332	2871	38557
43	67466	2902	40592
44	67592	2931	42033
45	67666	2959	43500
46	67707	2986	45235
47	67743	3008	46488
48	67760	3024	47743
